Name,City
Diamond Flight Centre London Inc.,London
MAG Canada,Garson
Adler Graduate Professional School,Toronto
Canada Christian College & School of Graduate Theological Studies,Toronto
Canadian Reformed Theological Seminary,Hamilton
Cornwall Aviation (1979) Ltd.,Summerstown
Emmanuel Bible College,Kitchener
FaithWay Baptist College of Canada,Ajax
Heritage College & Seminary,Cambridge
Institute for Advanced Judaic Studies,Toronto
Institute for Christian Studies,Toronto
Master’s College and Seminary,Peterborough
Ner Israel Joseph (J.T.) Tanenbaum Yeshivah College of Toronto,Thornhill
Northeastern University,Toronto
Our Lady Seat of Wisdom College,Barry’s Bay
Redeemer University College,Ancaster
St. Philip’s Seminary / The Oratory of St. Philip Neri-Toronto,Toronto
The Royal Conservatory of Music,Toronto
Toronto Baptist Seminary and Bible College,Toronto
Tyndale University College & Seminary,Toronto
Yorkville University/Toronto Film School,Concord
Six Nations Polytechnic,Ohsweken
Brampton Flight Centre,Caledon
Essential Helicopters,North Bay
Great Lakes Helicopter Corp.,Breslau
Spectrum Airways,Burlington
St. Thomas Flight Centre,St.Thomas
Stratford Air Services Ltd.,Stratford
Toronto Airways Inc.,Markham
Waterloo Wellington Flight Centre,Breslau
Canadian College of Naturopathic Medicine,Toronto
Canadian Memorial Chiropractic College (CMCC),Toronto
Algoma University,Brampton
Algoma University,Sault Ste. Marie
Algoma University,Timmins
Algonquin College,Ottawa
Algonquin College,Pembroke
Algonquin College,Perth
Brescia University College,London
Brock University,Hamilton
Brock University,St. Catharines
Cambrian College of Applied Arts and Technology,Sudbury
Cambrian College of Applied Arts and Technology,Brampton
Cambrian College of Applied Arts and Technology,Toronto
Canadian Forces College,North York
Canadore College,North Bay
Canadore College at Stanford International College of Business and Technology,Mississauga
Canadore College of Applied Arts and Technology,Parry Sound
Carleton University,Ottawa
Centennial College,Toronto
Collège Boréal,Barrie
Collège Boréal,Sudbury
Collège Boréal,Toronto
Collège Boréal,Windsor
Collège Boréal,Alfred
Collège Boréal,Hamilton
Collège Boréal,Hearst
Collège Boréal,Kapuskasing
Collège Boréal,London
Collège Boréal,New Liskeard
Collège Boréal,Niagara
Collège Boréal,Sturgeon Falls
Collège Boréal,Timmins
Concordia Lutheran Theological Seminary (Brock University),St. Catharines
Conestoga College,Kitchener
Conestoga College,Guelph
Conestoga College,Brantford
Conestoga College,Cambridge
Conestoga College,Ingersoll
Conestoga College,Kitchener
Conestoga College,Stratford
Conestoga College,Waterloo
Confederation College,Thunder Bay
Confederation College,Dryden
Confederation College,Fort Frances
Confederation College,Geraldton
Confederation College,Kenora
Conrad Grebel University College,Waterloo
Dominican University College,Ottawa
Durham College,Oshawa
Durham College,Pickering
Durham College,Whitby
Durham Flight Centre Inc.,Oshawa
Emmanuel College of Victoria University,Toronto
Fanshawe College,London
Fleming College,Cobourg
Fleming College,Haliburton
Fleming College,Lindsay
Fleming College,Peterborough
George Brown College,Toronto
Georgian College,Barrie
Georgian College,Bracebridge
Georgian College,Midland
Georgian College,Orangeville
Georgian College,Orillia
Georgian College,Owen Sound
Georgian College,South Georgian Bay
Georgian College at ILAC International College,Toronto
Humber College,Toronto
Humber College,Orangeville
Humber International Graduate School,Toronto
Huntington University (Laurentian University),Sudbury
Huron University College,London
King’s University College,London
Knox College,Toronto
La Cité collégiale,Alfred
La Cité collégiale,Hawkesbury
La Cité collégiale,Ottawa
Lakehead University,Thunder Bay
Lakehead University,Orillia
Lambton College,Mississauga
Lambton College,Sarnia
Lambton College,Toronto
Laurentian University,Barrie
Laurentian University,Brockville
Laurentian University,Cornwall
Laurentian University,Kingston
Laurentian University,Sudbury
Laurentian University,Sault Ste. Marie
Laurentian University,Timmins
Loyalist College,Bancroft
Loyalist College,Belleville
Loyalist College at Toronto Business College,Mississauga
McMaster Divinity College,Hamilton
McMaster University,Hamilton
McMaster University,Burlington
McMaster University,Kitchener
McMaster University,St. Catharines
Mohawk College,Brantford
Mohawk College,Stoney Creek
Mohawk College,Hamilton
National Helicopters Inc,Kleinburg
Niagara College Canada,Virgil
Niagara College Canada,St. Catharines
Niagara College Canada,Niagara-On-The-Lake
Niagara College Canada,Welland
Nipissing University,North Bay
Nipissing University,Brantford
Nipissing University,Bracebridge
Northern College,Kirkland Lake
Northern College,South Porcupine
Northern College,Temiskaming Shores
Northern College,Scarborough
OCAD University,Toronto
Queen’s University,Kingston
Queen’s University,Toronto
Regis College,Toronto
Renison University College,Waterloo
Royal Military College of Canada,Kingston
Ryerson University,Toronto
Sault College,Sault Ste. Marie
Sault College,Sudbury
Sault College,Toronto
Sault College of Applied Arts and Technology at Trios College,Brampton
Seneca College,Markham
Seneca College,Peterborough
Seneca College,King City
Seneca College,Toronto
Sheridan College,Mississauga
Sheridan College,Brampton
Sheridan College,Oakville
St. Augustine’s Seminary of Toronto,Toronto
St. Augustine’s Seminary of Toronto,Scarborough
St. Clair College,Chatham
St. Clair College,Windsor
St. Clair College at Ace Acumen Academy,Toronto
St. Clair College at Ace Acumen Academy,Mississauga
St. Jerome’s University (University of Waterloo),Waterloo
St. Lawrence College,Brockville
St. Lawrence College,Cornwall
St. Lawrence College,Kingston
St. Lawrence College,Toronto
St. Paul’s University College (University of Waterloo),Waterloo
The Michener Institute for Applied Health Sciences,Toronto
Thorneloe University (Laurentian University),Sudbury
Trent University,Oshawa
Trent University,Peterborough
Université Saint-Paul/St. Paul University,Ottawa
Université de Hearst,Hearst
Université de Hearst,Kapuskasing
Université de Hearst,Timmins
Université de l'Ontario français,Toronto
Université d’Ottawa/University of Ottawa,Ottawa
Université d’Ottawa/University of Ottawa,Pembroke
University of Guelph,Guelph
University of Guelph,Toronto
University of Guelph,Alfred
University of Guelph,Kemptville
University of Guelph,Ridgetown
University of Ontario Institute of Technology (UOIT),Oshawa
University of St. Michael’s College,Toronto
University of Sudbury (Laurentian University),Sudbury
University of Toronto,Mississauga
University of Toronto,Toronto
University of Trinity College,Toronto
University of Waterloo,Breslau
University of Waterloo,Cambridge
University of Waterloo,Waterloo
University of Waterloo,Kitchener
University of Waterloo,Stratford
University of Waterloo,Toronto
University of Windsor,Windsor
Victoria College in Victoria University (University of Toronto),Toronto
Waterloo Lutheran Seminary (Wilfred Laurier University),Waterloo
Western University,London
Wilfrid Laurier University,Brantford
Wilfrid Laurier University,Kitchener
Wilfrid Laurier University,Toronto
Wilfrid Laurier University,Waterloo
Wycliffe College,Toronto
York University,Toronto
